trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,image.started,image.stopped,val.started,val.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,hueSlider.response,hueSlider.rt,hueSlider.started,hueSlider.stopped,satSlider.response,satSlider.rt,satSlider.started,satSlider.stopped,valSlider.response,valSlider.rt,valSlider.started,valSlider.stopped,polygon.started,polygon.stopped,text_2.started,text_2.stopped,text.started,text.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,18.610966800013557,None,18.610966800013557,None,space,22.70753590000095,18.610966800013557,None,164.7972972972973,19.90237550000893,18.610966800013557,None,0.0,21.504771799984155,18.610966800013557,None,0.04251127468573079,18.315159199992195,18.610966800013557,None,18.610966800013557,None,18.610966800013557,None,41.4065941000008,None,tester,002,2022_Nov_04_1511,colPal,2021.2.3,60.53649866699755,
1,0,1,0,44.41222180001205,None,44.41222180001205,None,space,2.2652858000074048,44.41222180001205,None,147.06080960260854,1.5606308999995235,44.41222180001205,None,None,None,44.41222180001205,None,None,None,44.41222180001205,None,44.41222180001205,None,44.41222180001205,None,46.72408620000351,None,tester,002,2022_Nov_04_1511,colPal,2021.2.3,60.53649866699755,
2,0,2,0,49.77577520001796,None,49.77577520001796,None,space,1.4342070999846328,49.77577520001796,None,None,None,49.77577520001796,None,0.3416385135135135,1.1163237000000663,49.77577520001796,None,None,None,49.77577520001796,None,49.77577520001796,None,49.77577520001796,None,51.25963089999277,None,tester,002,2022_Nov_04_1511,colPal,2021.2.3,60.53649866699755,
3,0,3,0,54.30792160000419,None,54.30792160000419,None,space,1.6374738999875262,54.30792160000419,None,None,None,54.30792160000419,None,None,None,54.30792160000419,None,0.43313625958320257,1.3076606999966316,54.30792160000419,None,54.30792160000419,None,54.30792160000419,None,55.97397029999411,None,tester,002,2022_Nov_04_1511,colPal,2021.2.3,60.53649866699755,
4,0,4,0,59.01757530000759,None,59.01757530000759,None,space,1.629518800007645,59.01757530000759,None,None,None,59.01757530000759,None,0.5105574324324325,1.380820800026413,59.01757530000759,None,None,None,59.01757530000759,None,59.01757530000759,None,59.01757530000759,None,60.69253040000331,None,tester,002,2022_Nov_04_1511,colPal,2021.2.3,60.53649866699755,
