trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,image.started,image.stopped,val.started,val.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,hueSlider.response,hueSlider.rt,hueSlider.started,hueSlider.stopped,satSlider.response,satSlider.rt,satSlider.started,satSlider.stopped,valSlider.response,valSlider.rt,valSlider.started,valSlider.stopped,polygon.started,polygon.stopped,text_2.started,text_2.stopped,text.started,text.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,68.13732710000477,None,68.13732710000477,None,space,45.93198669998674,68.13732710000477,None,164.7972972972973,42.15951089997543,68.13732710000477,None,0.0,39.95456230000127,68.13732710000477,None,None,None,68.13732710000477,None,68.13732710000477,None,68.13732710000477,None,114.17243139998754,None,tester,001,2022_Nov_04_1504,colPal,2021.2.3,59.95563282541402,
1,0,1,0,117.17336019998766,None,117.17336019998766,None,space,14.59386110000196,117.17336019998766,None,347.2297297297297,11.605180299986387,117.17336019998766,None,0.0,4.984077100001741,117.17336019998766,None,None,None,117.17336019998766,None,117.17336019998766,None,117.17336019998766,None,131.82716990000335,None,tester,001,2022_Nov_04_1504,colPal,2021.2.3,59.95563282541402,
2,0,2,0,134.88824080000632,None,134.88824080000632,None,space,34.917734899994684,134.88824080000632,None,None,None,134.88824080000632,None,1.0,33.3079027000058,134.88824080000632,None,0.26069820491043294,30.544771299988497,134.88824080000632,None,134.88824080000632,None,134.88824080000632,None,169.8419031999947,None,tester,001,2022_Nov_04_1504,colPal,2021.2.3,59.95563282541402,
3,0,3,0,172.91665979998652,None,172.91665979998652,None,space,23.757013599999482,172.91665979998652,None,16.570945945945933,22.610520699992776,172.91665979998652,None,0.0,11.674532699980773,172.91665979998652,None,0.23958334004556808,17.928778400004376,172.91665979998652,None,172.91665979998652,None,172.91665979998652,None,196.7091564000002,None,tester,001,2022_Nov_04_1504,colPal,2021.2.3,59.95563282541402,
4,0,4,0,199.75894450000487,None,199.75894450000487,None,space,8.564637900009984,199.75894450000487,None,353.5641940219982,6.3471225000103,199.75894450000487,None,0.9997184550439989,7.169614699989324,199.75894450000487,None,0.24310247076524272,4.609333400003379,199.75894450000487,None,199.75894450000487,None,199.75894450000487,None,208.3552442000073,None,tester,001,2022_Nov_04_1504,colPal,2021.2.3,59.95563282541402,
